Comment,Designator,Footprint,LCSC
FB,FB1,C_0603,C1002
1k,"R11,R19,R41,R42",R_0402,C11702
100n,"C1,C15,C20,C21,C25,C3,C5",C_0402,C1525
27p,"C26,C27",C_0402,C1557
100n 100V,"C6,C7,C8,C9",C_0603,C15725
4u7,L2,L_Bourns-SRN4018,C167828
22k1,R32,R_0402,C170263
4u7,"C16,C19",C_0603,C19666
22,"R12,R13,R14,R15,R16,R18,R27,R30,R31,R33,R34,R5",R_0402,C25092
49R9,"R6,R7,R8,R9",R_0402,C25120
75R,"R21,R22,R23,R24",R_0402,C25133
100k,R29,R_0402,C25741
10k,"R10,R25,R26,R28,R39,R40",R_0402,C25744
12k1,R20,R_0402,C25852
3k3,"R1,R17,R2,R3,R4",R_0402,C25890
Fiducial_0.5mm_Mask1.5mm,"MH1,MH2,MH3",Fiducial_0.5mm_Mask1.5mm,C2915633
RJ45_LED_Shielded,J1,DNP,
BC817-40(SOT23),"Q1,Q3",SOT-23,C380921
LAN8720A,U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C45223
TG111-MSC13LF,TR1,XFMR_H1102NLT,C510548
1u,"C2,C4",C_0402,C52923
ESP32-WROOM,U1,ESP32-WROOM-32U,C701345
4104,U5,SO-16_3.9x9.9mm_P1.27mm,C7531
CH340T(SSOP20W),U6,SSOP-20W,C8689
SY8120B,U3,SOT-23-6,C88474
1nF 2kV,"C11,C12",C_1206_3216Metric,C9196
10u,"C10,C14,C17,C18",C_0603,C96446
Q12MHz/20pF/10ppm/4P/3.2x2.5mm,Q2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C97231
LED,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
LED,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
RT7402,PS1,Converter_DCDC_XP_POWER-IAxxxxD_THT,

