Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402,14.2,37.4,180.0,top
C2,1u,C_0402,14.2,38.4,180.0,top
C3,100n,C_0402,14.2,35.4,180.0,top
C4,1u,C_0402,14.2,34.4,180.0,top
C5,100n,C_0402,6.0,33.4,0.0,top
C6,100n 100V,C_0603,15.0,16.2,-90.0,top
C7,100n 100V,C_0603,13.7,16.2,-90.0,top
C8,100n 100V,C_0603,12.4,16.2,-90.0,top
C9,100n 100V,C_0603,11.1,16.2,-90.0,top
C10,10u,C_0603,5.7,37.6,180.0,top
C11,1nF 2kV,C_1206_3216Metric,12.5,12.5,-90.0,top
C12,1nF 2kV,C_1206_3216Metric,-12.5,12.5,-90.0,top
C14,10u,C_0603,-15.105971,56.647287,180.0,top
C15,100n,C_0402,10.1,44.5,90.0,top
C16,4u7,C_0603,14.6,44.5,-90.0,top
C17,10u,C_0603,-14.9,23.0,180.0,top
C18,10u,C_0603,11.6,42.0,0.0,top
C19,4u7,C_0603,-14.805971,72.147287,0.0,top
C20,100n,C_0402,-10.905971,72.147287,180.0,top
C21,100n,C_0402,4.444029,42.347287,90.0,top
C25,100n,C_0402,-12.905971,46.647287,0.0,top
C26,27p,C_0402,-11.255971,45.147287,90.0,top
C27,27p,C_0402,-6.555971,45.147287,-90.0,top
FB1,FB,C_0603,7.6,39.8,-90.0,top
J1,RJ45_LED_Shielded,RJ45_Cetus_J1B1211CCD_Horizontal,0.0,9.4,0.0,top
J2,LED,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,-13.2,79.9,-90.0,top
J3,LED,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,-13.2,94.9,-90.0,top
L2,4u7,L_Bourns-SRN4018,7.3,43.9,-90.0,top
MH1,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,12.5,6.0,0.0,top
MH2,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,-12.5,6.0,0.0,top
MH3,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,-12.5,105.0,180.0,top
PS1,RT7402,Converter_DCDC_XP_POWER-IAxxxxD_THT,2.28,79.315,180.0,top
Q1,BC817-40(SOT23),SOT-23,-14.905971,58.847287,0.0,top
Q2,Q12MHz/20pF/10ppm/4P/3.2x2.5mm,Crystal_SMD_3225-4Pin_3.2x2.5mm,-8.905971,45.147287,0.0,top
Q3,BC817-40(SOT23),SOT-23,-11.105971,58.847287,0.0,top
R1,3k3,R_0402,8.6,39.7,-90.0,top
R2,3k3,R_0402,14.6,39.8,-90.0,top
R3,3k3,R_0402,13.3,39.75,180.0,top
R4,3k3,R_0402,5.8,39.8,0.0,top
R5,22,R_0402,-12.905971,44.047287,180.0,top
R6,49R9,R_0402,7.9,32.2,0.0,top
R7,49R9,R_0402,6.0,32.2,180.0,top
R8,49R9,R_0402,14.2,32.2,0.0,top
R9,49R9,R_0402,12.3,32.2,180.0,top
R10,10k,R_0402,-12.905971,22.647287,90.0,top
R11,1k,R_0402,10.406066,9.693934,45.0,top
R12,22,R_0402,-12.905971,45.097287,180.0,top
R13,22,R_0402,6.0,35.4,180.0,top
R14,22,R_0402,6.0,34.4,180.0,top
R15,22,R_0402,6.0,36.4,180.0,top
R16,22,R_0402,10.9,39.7,90.0,top
R17,3k3,R_0402,9.6,39.7,-90.0,top
R18,22,R_0402,11.9,39.7,90.0,top
R19,1k,R_0402,9.7,10.4,45.0,top
R20,12k1,R_0402,14.2,33.4,0.0,top
R21,75R,R_0402,13.3,19.3,-90.0,top
R22,75R,R_0402,9.7,18.8,0.0,top
R23,75R,R_0402,9.7,17.85,0.0,top
R24,75R,R_0402,9.7,16.95,0.0,top
R25,10k,R_0402,1.494029,43.747287,0.0,top
R26,10k,R_0402,5.8,38.8,0.0,top
R27,22,R_0402,-2.3,43.75,180.0,top
R28,10k,R_0402,3.994029,39.247287,-90.0,top
R29,100k,R_0402,13.3,40.9,0.0,top
R30,22,R_0402,-8.6,63.6,-90.0,top
R31,22,R_0402,-8.6,67.3,-90.0,top
R32,22k1,R_0402,13.9,42.0,0.0,top
R33,22,R_0402,-8.6,69.9,-90.0,top
R34,22,R_0402,-8.6,72.5,-90.0,top
R39,10k,R_0402,-14.905971,44.047287,180.0,top
R40,10k,R_0402,-14.905971,45.097287,180.0,top
R41,1k,R_0402,-13.505971,60.247287,90.0,top
R42,1k,R_0402,-9.805971,60.247287,90.0,top
TR1,TG111-MSC13LF,XFMR_H1102NLT,10.1,26.2,-90.0,top
U1,ESP32-WROOM,ESP32-WROOM-32U,-7.225,33.5,90.0,top
U2,LAN8720A,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,10.1,35.9,180.0,top
U3,SY8120B,SOT-23-6,12.3,44.6,90.0,top
U5,4104,SO-16_3.9x9.9mm_P1.27mm,-13.005971,66.247287,0.0,top
U6,CH340T(SSOP20W),SSOP-20W,-13.005971,51.597287,0.0,top
